ID,Type,Status,Date
8,Abdominal,Day To Day,3/11/2020
15,Heel,Out,3/4/2020
16,Knee,Out,3/4/2020
25,Hamstring,Day To Day,3/11/2020
50,Achilles,Out,10/23/2019
37,Ankle,Out,3/11/2020
46,Shoulder,Out For Season,2/20/2020
39,Ankle,Day To Day,3/11/2020
70,Illness,Day To Day,3/11/2020
55,Achilles,Day To Day,3/11/2020
56,Knee,Out,2/19/2020
63,Shoulder,Out For Season,3/11/2020
62,Ankle,Out,2/27/2020
54,Left Quad,Day To Day,3/11/2020
93,Ankle,Out,2/26/2020
86,Groin,Out,3/6/2020
87,Eye,Day To Day,3/10/2020
100,Leg,Out For Season,1/13/2020
107,Shoulder,Out,3/13/2020
105,Ankle,Day To Day,3/11/2020
103,Hip,Day To Day,3/11/2020
109,Knee,Day To Day,3/11/2020
110,Achilles,Out For Season,1/22/2020
138,Ankle,Day To Day,3/11/2020
143,Knee,Out,1/7/2020
144,Ankle,Out,3/10/2020
142,Knees,Out,2/19/2020
140,Ankle,Out,3/3/2020
155,Knee,Out,3/11/2020
156,Left Hip,Out,3/7/2020
157,Quad,Out,3/11/2020
164,Left Knee ACL Tear,Out For Season,2/20/2020
158,Ankle,Out,3/11/2020
190,Hip,Out,3/7/2020
191,Knee,Out For Season,2/24/2020
185,Toe,Day To Day,3/10/2020
201,Calf,Day To Day,3/10/2020
221,Hand,Day To Day,3/11/2020
222,Elbow,Day To Day,3/11/2020
220,Groin,Day To Day,3/11/2020
242,Hip,Out,1/27/2020
233,Groin,Day To Day,3/11/2020
240,Quadriceps,Out,3/9/2020
247,Back,Day To Day,3/11/2020
253,Toe,Day To Day,3/11/2020
256,Ankle,Day To Day,3/11/2020
271,Knee,Day To Day,3/11/2020
285,Wrist,Out,3/6/2020
309,Wrist,Out,3/7/2020
315,Achilles,Out,10/23/2019
304,Hamstring,Out,3/1/2020
339,Knee,Out,2/10/2020
348,Knee,Out,2/27/2020
360,Right Knee,Out,1/8/2020
351,Elbow,Out,3/6/2020
359,Knee,Out,1/2/2020
371,Back,Out,3/11/2020
393,Ankle,Day To Day,3/10/2020
389,Illness,Out,3/9/2020
392,Knee,Out,1/6/2020
411,Shoulder,Out,1/17/2020
406,Leg,Out For Season,12/10/2019
412,Leg Fracture,Out,3/6/2020
422,Knee,Out,3/11/2020
435,Calf,Out,3/9/2020
436,Knee,Out,3/3/2020
438,Shin,Day To Day,3/10/2020
455,Hamstring,Day To Day,3/9/2020
460,Ankle,Out,1/2/2020
453,Ankle,Day To Day,3/9/2020
452,Shoulder,Day To Day,3/9/2020
466,Illness,Out,3/11/2020
469,Illness,Out,3/11/2020
475,Quad,Out,3/4/2020
481,Groin,Day To Day,3/10/2020
480,Hamstring,Out,3/6/2020
495,Left Torn Achilles,Out,12/11/2019
